date,Aopen,Ahigh,Alow,Aclose,Avolume,Copen,Chigh,Clow,Cclose,Cvolume
2020-01-03,297.1500,300.5800,296.5000,297.4300,36190310,0.9380,0.9620,0.9000,0.9170,76739102
2020-01-02,296.2400,300.6000,295.1900,300.3500,33911864,0.8385,0.8673,0.8151,0.8600,51599112
2019-12-31,289.9300,293.6800,289.5200,293.6500,25247625,0.8206,0.8350,0.7927,0.8256,54280774
2019-12-30,289.4600,292.6900,285.2200,291.5200,36059614,0.8750,0.8970,0.8120,0.8334,58843267
2019-12-27,291.1200,293.9700,288.1200,289.8000,36592936,0.9480,0.9540,0.8100,0.8541,89321727
2019-12-26,284.8200,289.9800,284.7000,289.9100,23334004,0.9450,0.9700,0.9357,0.9445,32950850
2019-12-24,284.6900,284.8900,282.9197,284.2700,12119714,0.9500,0.9675,0.9377,0.9377,27125290
2019-12-23,280.5300,284.2500,280.3735,284.0000,24677883,0.9300,0.9600,0.9000,0.9500,66153268
2019-12-20,282.2300,282.6500,278.5600,279.4400,69032743,0.9495,0.9800,0.8711,0.9527,179012891
2019-12-19,279.5000,281.1800,278.9500,280.0200,24626947,0.9306,0.9846,0.9057,0.9183,110282542
2019-12-18,279.8000,281.9000,279.1200,279.7400,29024687,0.8115,0.9250,0.8106,0.9000,128234907
2019-12-17,279.5700,281.7700,278.8000,280.4100,28575798,0.7720,0.8202,0.7700,0.8163,83285044
2019-12-16,277.0000,280.7900,276.9800,279.8600,32081105,0.7800,0.8000,0.7602,0.7696,79120532
2019-12-13,271.4600,275.3000,270.9300,275.1500,33432806,0.8050,0.8150,0.7700,0.7892,63122633
2019-12-12,267.7800,272.5599,267.3210,271.4600,34437042,0.7500,0.8000,0.7484,0.7826,66316805
2019-12-11,268.8100,271.1000,268.5000,270.7700,19723391,0.7833,0.7874,0.7200,0.7451,48932341
2019-12-10,268.6000,270.0700,265.8600,268.4800,22632383,0.8042,0.8480,0.7600,0.7752,83978545
2019-12-09,270.0000,270.8000,264.9100,266.9200,32182645,0.7570,0.7944,0.7440,0.7896,60127555
2019-12-06,267.4800,271.0000,267.3000,270.7100,26547493,0.7257,0.7686,0.7211,0.7601,66148145
2019-12-05,263.7900,265.8900,262.7300,265.5800,18661343,0.7600,0.8050,0.7000,0.7194,122388880
2019-12-04,261.0700,263.3100,260.6800,261.7400,16810388,0.7028,0.7527,0.6881,0.7430,155398155
2019-12-03,258.3100,259.5300,256.2900,259.4500,29377268,0.5977,0.6500,0.5850,0.6375,67465709
2019-12-02,267.2700,268.2500,263.4500,264.1600,23693550,0.5980,0.6188,0.5900,0.6064,47131576
2019-11-29,266.6000,268.0000,265.9000,267.2500,11654363,0.6059,0.6184,0.5820,0.5953,35883121
2019-11-27,265.5800,267.9800,265.3100,267.8400,16386122,0.5950,0.6300,0.5862,0.6190,61886784
2019-11-26,266.9400,267.1600,262.5000,264.2900,26334882,0.6032,0.6370,0.5810,0.5961,96929293
2019-11-25,262.7100,266.4400,262.5200,266.3700,21029517,0.5800,0.5900,0.5714,0.5800,71625083
2019-11-22,262.5900,263.1800,260.8400,261.7800,16331263,0.5900,0.5989,0.5800,0.5888,55785551
2019-11-21,263.6900,264.0050,261.1800,262.0100,30348778,0.5750,0.6000,0.5600,0.5781,67911305
2019-11-20,265.5400,266.0830,260.4000,263.1900,26609919,0.5650,0.5988,0.5500,0.5705,106817719
2019-11-19,267.9000,268.0000,265.3926,266.2900,19069597,0.6382,0.6420,0.5505,0.5557,116828292
2019-11-18,265.8000,267.4300,264.2300,267.1000,21700897,0.6900,0.6949,0.6300,0.6436,94615022
2019-11-15,263.6800,265.7800,263.0100,265.7600,25093666,0.6972,0.7145,0.6850,0.7004,80252982
2019-11-14,263.7500,264.8800,262.1000,262.6400,22395556,0.7100,0.7257,0.6710,0.6900,89985624
2019-11-13,261.1300,264.7800,261.0700,264.4700,25817593,0.7991,0.8000,0.6900,0.7018,179394967
2019-11-12,261.5500,262.7900,260.9200,261.9600,21847226,0.8150,0.8150,0.6359,0.6698,175106745
2019-11-11,258.3000,262.4700,258.2800,262.2000,20507459,0.9000,0.9050,0.8076,0.8077,87209894
2019-11-08,258.6900,260.4400,256.8500,260.1400,17520495,0.9250,0.9466,0.9000,0.9000,69092941
2019-11-07,258.7400,260.3500,258.1100,259.4300,23735083,0.9698,0.9759,0.8900,0.9063,119988088
2019-11-06,256.7700,257.4900,255.3650,257.2400,18966124,1.2900,1.3000,0.7900,0.9069,347879948
2019-11-05,257.0500,258.1900,256.3200,257.1300,19974427,1.3200,1.4100,1.2800,1.2800,144111741
2019-11-04,257.3300,257.8450,255.3800,257.5000,25817952,1.4800,1.5900,1.4700,1.5600,110801522
2019-11-01,249.5400,255.9300,249.1600,255.8200,37781334,1.3500,1.5000,1.3500,1.4400,78532641
2019-10-31,247.2400,249.1700,237.2600,248.7600,34790520,1.4100,1.4200,1.3300,1.3400,47722934
2019-10-30,244.7600,245.3000,241.2100,243.2600,31130522,1.4900,1.5000,1.4000,1.4000,37942076
2019-10-29,248.9700,249.7500,242.5700,243.2900,35709867,1.4500,1.5200,1.4000,1.4700,51787838
2019-10-28,247.4200,249.2500,246.7200,249.0500,23655368,1.5400,1.5900,1.4700,1.4700,60485106
2019-10-25,243.1600,246.7300,242.8800,246.5800,18369296,1.4600,1.5700,1.4400,1.5600,71018488
2019-10-24,244.5100,244.8000,241.8050,243.5800,17916255,1.4200,1.4800,1.3900,1.4800,46266105
2019-10-23,242.1000,243.2400,241.2200,243.1800,19932545,1.3350,1.4300,1.3200,1.4300,57269985
2019-10-22,241.1600,242.2000,239.6218,239.9600,22684001,1.3600,1.3700,1.3100,1.3500,38889268
2019-10-21,237.5200,240.9900,237.3200,240.5100,21811567,1.2700,1.3700,1.2600,1.3600,59696210
2019-10-18,234.5900,237.5800,234.2900,236.4100,24248023,1.2900,1.3200,1.2800,1.2900,34803439
2019-10-17,235.0900,236.1500,233.5200,235.2800,17272897,1.3300,1.3300,1.2800,1.3100,51691399
